Epoch	Train_Loss	Val_Loss	OA	AA	Kappa
450	0.9268	0.1913	99.07	96.07	98.94
451	1.0687	0.1865	99.14	96.18	99.02
452	1.0683	0.1882	99.07	95.68	98.94
453	0.9452	0.1869	99.04	95.80	98.90
454	0.8666	0.1807	99.13	96.22	99.00
455	1.0181	0.1760	99.13	96.15	99.00
456	1.0953	0.1822	99.09	95.84	98.96
457	1.0014	0.1817	98.99	95.29	98.85
458	1.0411	0.1802	98.99	95.16	98.85
459	1.1098	0.1858	99.08	95.25	98.95
460	0.9916	0.1800	99.10	95.71	98.98
461	0.9756	0.1779	99.15	95.93	99.03
462	0.9377	0.1826	99.14	95.93	99.02
463	1.0644	0.1736	99.07	95.69	98.94
464	1.0592	0.1661	99.15	95.72	99.03
465	1.0184	0.1677	99.18	96.04	99.07
466	1.1509	0.1773	99.16	96.07	99.04
467	1.1398	0.1941	99.10	95.83	98.98
468	1.0027	0.1875	99.10	95.96	98.98
469	0.8973	0.1845	99.06	95.86	98.93
470	1.0090	0.1788	99.06	95.81	98.93
471	1.0670	0.1864	99.04	95.78	98.90
472	1.1441	0.1891	99.10	95.77	98.98
473	0.9470	0.1783	99.17	96.22	99.06
474	0.9806	0.1790	99.08	96.13	98.95
475	1.0263	0.1815	99.13	95.89	99.00
476	1.0291	0.1813	99.13	96.10	99.00
477	1.0918	0.1790	99.22	96.15	99.11
478	1.0025	0.1754	99.13	95.77	99.00
479	1.0227	0.1767	99.07	95.39	98.94
480	0.9933	0.1777	99.07	95.59	98.94
481	0.8772	0.1750	99.13	95.85	99.00
482	0.8418	0.1718	99.14	95.88	99.02
483	1.1176	0.1739	99.16	95.95	99.04
484	1.0023	0.1777	99.06	95.86	98.93
485	1.0428	0.1787	99.08	95.88	98.95
486	1.0747	0.1825	99.09	95.89	98.96
487	1.1504	0.1862	99.02	95.63	98.89
488	0.9682	0.1788	99.05	95.63	98.91
489	0.9876	0.1797	99.00	95.49	98.86
490	1.0485	0.1790	99.00	95.59	98.86
491	1.0304	0.1767	99.06	95.84	98.93
492	0.9624	0.1726	99.15	95.91	99.03
493	0.9875	0.1788	99.04	95.40	98.90
494	0.9109	0.1844	98.99	95.33	98.85
495	1.0735	0.1826	99.07	95.72	98.94
496	1.0106	0.1796	98.99	95.72	98.85
497	1.1028	0.1800	99.05	95.89	98.91
498	1.0357	0.1772	99.02	95.76	98.89
499	1.0816	0.1830	99.04	95.47	98.90
500	0.9330	0.1807	99.09	96.07	98.96
501	0.8813	0.1813	99.14	96.11	99.02
502	0.9656	0.1803	99.13	96.10	99.00
503	1.0339	0.1777	99.13	96.09	99.00
504	0.9772	0.1739	99.10	96.08	98.98
505	1.0206	0.1734	99.12	96.14	98.99
506	1.0952	0.1754	99.14	96.16	99.02
507	0.9915	0.1799	99.09	96.10	98.96
508	1.1124	0.1782	99.09	96.16	98.96
509	1.0352	0.1807	99.13	96.09	99.00
510	0.9788	0.1783	99.13	96.09	99.00
511	1.1110	0.1793	99.12	96.09	98.99
512	1.0130	0.1814	99.10	96.13	98.98
513	0.9488	0.1831	99.12	96.14	98.99
514	1.0151	0.1816	99.10	96.11	98.98
